id;nom;prenoms;Genre;nomproduit;categorie;prixunitaire;dateachat
1;Green;Mark;Male;Saucisson à l'anis;Charcuterie;1400;2022-11-18 02:48:00.0000000
2;Eze;Chukwudi;Male;Pâté de lapin aux noix;Charcuterie;1800;2022-04-26 20:34:00.0000000
3;Adewale;Babatunde;Male;Sachet de sel;Condiment;500;2022-11-14 13:08:00.0000000
4;Young;Victoria;Female;Terrine de faisan aux morilles;Charcuterie;1700;2022-07-23 09:55:00.0000000
5;Camara;Fanta;Female;Baume après-rasage hydratant Nivea;Produits de rasage;700;2022-11-19 13:01:00.0000000
6;Perez;Peyton;Female;Sachet de sel;Condiment;500;2022-03-18 08:02:00.0000000
7;Scott;Adam;Male;Baume à cuticules Sally Hansen;Produits de soin pour les ongles;1000;2022-09-22 22:21:00.0000000
8;Lewis;Kyle;Male;Sachet de thé Lipton;Thé;500;2022-06-12 06:47:00.0000000
9;Eze;Ngozi;Female;Déodorant stick Narta;Produits d'hygiène;800;2022-01-24 23:39:00.0000000
10;Wilson;Hudson;Male;Saucisse de Morteau;Charcuterie;1600;2022-03-10 00:05:00.0000000
11;Thompson;Anna;Female;Soin hydratant intense pour le visage Nivea;Produits de soin pour le visage;2500;2022-11-06 13:34:00.0000000
12;Eze;Nneka;Female;Bouteille de Jack Daniel;Liqueur;5000;2022-07-24 03:54:00.0000000
13;Abubakar;Musa;Male;Andouille;Charcuterie;1600;2022-02-19 07:53:00.0000000
14;Abubakar;Musa;Male;Paquet de riz complet;Alimentation;1500;2022-02-07 15:09:00.0000000
15;King;Betty;Female;Déodorant spray fraîcheur instantanée Nivea;Produits d'hygiène;800;2022-10-25 23:43:00.0000000
16;Robinson;Philip;Male;Boîte de mouchoirs en papier Kleenex;Hygiène;1000;2022-07-30 13:25:00.0000000
17;Simmons;Sharon;Female;Pâté de cerf;Charcuterie;1800;2022-02-23 11:19:00.0000000
18;Bello;Idris;Male;Démaquillant yeux waterproof Garnier;Produits de démaquillage;1200;2022-07-21 17:01:00.0000000
19;Powell;Victoria;Female;Sac de riz Basmati;Alimentation;4000;2022-03-17 14:23:00.0000000
20;Agyei;Kwesi;Male;Petite bouteille de Coca-Cola;Boisson;500;2022-10-20 17:20:00.0000000
21;Washington;Camila;Female;Soin anti-fatigue pour le visage Nivea;Produits de soin pour le visage;2500;2022-10-27 05:50:00.0000000
22;Nwachukwu;Adanna;Female;Coppa;Charcuterie;1600;2022-09-10 07:58:00.0000000
23;Tetteh;Jabari;Male;Bouteille de shampoing Head & Shoulders;Hygiène;1500;2022-10-22 08:17:00.0000000
24;Diallo;Mamadou;Male;Saucisson à l'ail;Charcuterie;1300;2022-03-20 02:31:00.0000000
25;Hughes;Roger;Male;Terrine de perdreau;Charcuterie;1700;2022-10-17 03:58:00.0000000
26;Nwachukwu;Chinelo;Female;Crème de nuit régénérante L'Oréal;Produits de soin pour le visage;1200;2022-11-04 20:30:00.0000000
27;Jenkins;Sylvia;Female;Sérum hydratant Vichy;Produits de soin pour le visage;3000;2022-07-30 07:24:00.0000000
28;Alexander;Samuel;Male;Déodorant Rexona;Produits d'hygiène;800;2022-12-13 13:24:00.0000000
29;Boateng;Kwaku;Male;Sérum hydratant Vichy;Produits de soin pour le visage;3000;2022-05-27 03:56:00.0000000
30;Coleman;Jerry;Male;Pâté de sanglier;Charcuterie;1800;2022-03-01 23:10:00.0000000
31;Wilson;Christopher;Male;Saucisson au genièvre;Charcuterie;1400;2022-08-28 00:11:00.0000000
32;Ibrahim;Fatimah;Female;Sac de croquettes pour chien Pedigree;Animaux;2000;2022-08-02 05:33:00.0000000
33;Chukwu;Obinna;Male;Bouteille de sauce soja;Condiment;1000;2022-05-09 09:20:00.0000000
34;Garcia;Julia;Male;Gel coiffant effet mouillé Schwarzkopf;Produits de coiffure;1500;2022-09-11 02:36:00.0000000
35;Wright;Brandon;Male;Sachet de sucre vanillé;Sucrerie;500;2022-09-21 21:21:00.0000000
36;Adewale;Babatunde;Male;Dentifrice blanchissant Colgate;Produits d'hygiène dentaire;500;2022-02-21 07:58:00.0000000
37;Mensah;Abigail;Female;Boudin noir;Charcuterie;1500;2022-03-25 15:50:00.0000000
38;Perez;Peyton;Female;Paquet de chips Lay's;Snack;750;2022-08-07 18:24:00.0000000
